AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-6806,2624,938,1991,-1418,-751,-3202,-21426,4414,-5506,-5756,-14668,-138,1450,7190,38,114,-2499,5.08,406,2062,0.0
-7350,2234,1002,3018,-1455,-751,-1748,-23164,1182,-3129,-4199,-15667,164,1178,7772,311,311,-3132,5.08,411,2087,0.1
-7834,3028,880,3909,-1650,-796,-1766,-22250,570,219,-2663,-16198,402,320,8344,470,369,-3596,5.07,469,2380,0.1
-8864,3932,16,5152,-2037,-785,-6000,-17562,-1836,6567,-1120,-15550,474,-1040,9504,647,301,-4233,5.08,411,2087,0.1
-9076,5306,-116,5403,-2298,-665,-7356,-12462,-4018,7197,-136,-16067,428,-1420,8608,636,233,-4604,5.08,450,2286,0.2
-8530,6082,202,4852,-2554,-665,-6594,-10120,-4416,8191,801,-15245,-134,-1338,7044,589,430,-4789,5.07,469,2380,0.2
-7014,5528,218,3475,-2467,-362,-10196,-5964,-5798,11360,-4039,-16376,-980,-844,6328,523,463,-4900,5.08,406,2062,0.3
-6078,5612,-364,2557,-2206,-4,-8760,-1268,-7376,12059,-7429,-16612,-444,-572,6538,470,349,-4770,5.07,474,2405,0.3
-6070,5104,-254,1635,-1967,136,-7822,496,-8496,9677,-10509,-16012,-140,358,5726,454,345,-4556,5.07,469,2380,0.3
-6196,4090,384,661,-1622,228,-3324,362,-7392,6403,-12151,-15835,-1370,-1108,4052,518,130,-3905,5.08,401,2037,0.4
-6470,2984,310,858,-1743,134,-712,1230,-6798,4641,-9943,-14692,-1502,-2952,5828,356,661,-3799,5.07,459,2331,0.4
-6528,2724,-10,2022,-2101,108,1340,974,-5730,2143,-8463,-12786,108,-3066,9342,206,413,-4404,5.07,459,2331,0.4
-6774,4590,-208,3541,-2488,120,3164,2588,-4514,-2285,-1791,-12362,-2242,-2526,11526,-64,432,-4379,5.08,411,2087,0.5
-7628,5316,-362,3922,-2566,-192,1150,2680,-5038,-5275,-5212,-10279,-1298,-2728,12370,-10,-404,-4043,5.06,469,2376,0.5
-7686,7222,-394,4314,-2964,-877,5826,6662,-5870,-8570,-4264,-4513,-2728,-1264,8628,359,148,-4042,5.08,406,2062,0.6
-7114,7702,-420,3843,-2946,-1216,6832,7548,-6968,-10477,-1110,-1308,-2802,-154,6920,303,192,-3583,5.07,474,2405,0.6
-6340,7232,-818,3179,-2571,-1708,6266,5568,-7156,-12641,93,26,-2236,350,7814,209,-104,-3213,5.07,474,2405,0.6
-5292,5320,-684,2547,-2089,-1624,4112,1622,-6620,-15098,2555,2354,-776,432,6862,25,-487,-2626,5.08,401,2037,0.7
-5086,4904,-526,2438,-1879,-1591,3004,2024,-6390,-16166,3107,2842,-606,324,5634,-16,-458,-2629,5.08,401,2037,0.7
-4336,4322,-196,2466,-1604,-1240,-14,1542,-6802,-19776,4801,3902,-82,-468,6250,-98,-756,-2821,5.06,474,2401,0.8
-4408,4084,84,2773,-1346,-827,-656,-616,-8608,-20604,5965,4511,646,-1636,6922,-123,-951,-2776,5.07,459,2331,0.8
-4672,4238,72,3304,-1406,-277,-2650,-6700,-10196,-15287,10323,9661,-96,-2052,6010,-117,-902,-3358,5.08,420,2137,0.8
-4626,4462,-36,3443,-1295,-39,-5202,-4880,-10416,-12493,9425,8662,-466,-1096,5824,-17,-797,-3446,5.07,479,2430,0.9
-5092,4668,-200,3478,-1197,97,-10608,-4646,-10114,-11166,9452,9230,-528,-910,6280,192,-802,-3558,5.07,459,2331,0.9
-5540,4900,-198,3369,-1163,113,-6274,-1344,-9568,-11287,5883,3416,-1308,-742,6286,453,-839,-3810,5.08,401,2037,1.0
-5830,5248,-222,3121,-1027,-11,-5078,-5650,-7150,-12665,4144,4912,-1732,-762,5818,512,-649,-3782,5.07,459,2331,1.0
-6184,5318,-148,2890,-1179,-206,-6948,-5350,-4836,-8183,11501,14779,-1842,-432,6596,460,-511,-3802,5.07,469,2380,1.0
-6732,5360,154,2612,-1055,-521,-8784,-2268,1722,-7096,12637,17870,-2302,-240,6006,285,58,-3581,5.08,406,2062,1.1
-7036,5190,578,2589,-1149,-650,-10662,-3798,3450,-12147,14048,14797,-1924,368,6712,220,395,-3178,5.07,450,2281,1.1
-7584,5052,902,2845,-1342,-621,-12848,-18550,2102,-11770,14748,5039,-2068,616,6522,228,1062,-2979,5.07,464,2356,1.1
-8582,5398,1214,3705,-1808,-433,-9346,-30318,14124,-5129,-91,2870,-2158,666,7406,578,1723,-3120,5.08,406,2062,1.2
-8862,5670,1364,4058,-2136,-297,-6390,-32768,15748,1167,3139,11514,-1656,-282,10254,671,1139,-3108,5.07,455,2306,1.2
-8408,5780,1542,4158,-2433,-125,-14290,-32768,21918,974,10797,7597,-1634,-962,7406,703,1617,-3478,5.07,469,2380,1.3
-8700,6248,2308,3730,-2576,435,-10206,-32768,26734,-5267,200,-4479,-530,-926,7992,884,1599,-4170,5.08,406,2062,1.3
-9312,6406,2442,3254,-2630,742,-4138,-32768,24398,-2491,-2227,-6968,478,-208,11346,1092,1301,-4575,5.07,464,2356,1.3
-10050,6470,1506,3054,-2628,913,290,-32768,19582,-18,-5250,-9428,18,1846,14174,1351,690,-4516,5.07,474,2405,1.4
-10708,7078,-378,3013,-2718,1067,-370,-24796,15352,2039,-7740,-12341,-3512,5278,12966,1083,-147,-3189,5.08,401,2037,1.4
-8416,6738,-132,2504,-2763,906,-1284,-20768,12110,2151,-10175,-14741,-2948,3476,9294,242,39,-1317,5.07,459,2331,1.5
-5770,5052,128,2015,-1692,1015,-4832,-16854,5698,5288,-10852,-14996,-970,4892,7328,-363,79,148,5.08,406,2062,1.5
-5064,5256,422,1767,-1316,832,-7438,-12726,2394,7887,-10534,-13352,-884,-350,5854,-792,156,71,5.07,469,2380,1.5
-4108,4636,1370,1391,-835,864,-7798,-9274,-764,10309,-7974,-9925,-462,-1652,5364,-1236,14,-416,5.07,459,2331,1.6
-3680,4106,2154,686,160,605,-8564,-4414,-4528,12549,-9416,-2303,-1618,-1720,6794,-1451,277,-1092,5.06,464,2351,1.6
-4002,4314,1976,746,-25,539,-11552,2000,-6870,11416,-8569,-9360,-1806,-1166,6508,-1359,559,-1166,5.07,474,2405,1.7
-4010,4896,1394,839,130,641,-12412,2212,-7756,8582,-16216,-10533,-1780,-402,7246,-1267,345,-1026,5.07,464,2356,1.7
-5076,4850,712,810,417,542,-4946,-310,-9690,6104,-11832,-10496,-1976,1164,6454,-715,591,-398,5.08,401,2037,1.7
-5824,5264,368,773,-54,17,-4206,-214,-11482,5005,-10013,-8209,-1760,1432,6536,-479,604,-7,5.07,464,2356,1.8
-5272,5576,486,260,609,-350,-274,386,-13696,1879,-9445,-7876,-1138,234,6432,-449,102,653,5.08,401,2037,1.8
-5628,5928,732,-508,1087,-811,2790,492,-13760,1382,-5803,-7817,-1570,26,6538,-544,59,875,5.07,464,2356,1.9
-5440,5218,850,-817,1273,-1016,2756,4390,-10370,935,-3601,-6166,-648,-1000,7656,-559,106,1100,5.07,459,2331,1.9
-5056,4500,860,-558,1032,-974,3634,6498,-10120,-1859,356,-2942,-516,-698,5226,-473,-224,1219,5.08,406,2062,1.9
-4996,4342,840,-489,935,-933,4830,9448,-10566,-4762,3189,-1242,82,14,7194,-303,-710,1184,5.07,459,2331,2.0
-4430,4858,698,-1115,1086,-867,3750,11340,-11654,-9833,8876,1881,556,-340,5916,26,-662,938,5.08,411,2087,2.0
-4598,4492,770,-1448,1061,-787,1004,9836,-12256,-11870,10625,4050,688,-506,6078,262,-831,520,5.07,474,2405,2.0
-4510,4122,834,-1621,1063,-587,-1766,7056,-11140,-12773,11815,6847,258,-462,4730,490,-669,176,5.07,459,2331,2.1
-4786,3382,1264,-1548,837,-182,-7362,6992,-8492,-12284,12580,11813,-54,-1172,4304,735,-746,-356,5.08,420,2137,2.1
-4588,2952,1634,-1251,541,128,-9150,6516,-8728,-11703,12742,14221,-500,-1724,4238,818,-682,-764,5.07,459,2331,2.2
-4420,2842,2030,-870,286,421,-9928,4252,-9514,-10133,12802,15799,-1008,-1922,3670,824,-505,-1138,5.07,459,2331,2.2
-4474,3996,2420,321,76,844,-10604,-4,-5658,-4310,13008,17111,-1856,-1202,4402,692,107,-1125,5.08,401,2037,2.2
-5570,6142,2704,247,351,1113,-10966,674,-2164,-547,12737,17506,-2332,-556,6660,525,374,-646,5.07,469,2380,2.3
-9040,9808,5030,-1070,751,837,-12564,-4508,5426,-3065,10332,15154,-674,4538,11906,416,1007,1554,5.08,406,2062,2.3
-10126,9570,5192,-2031,540,560,-15852,-7318,6128,-7492,10493,13317,-3740,6300,16572,178,302,802,5.08,450,2286,2.4
-10160,9626,4074,-2361,709,217,-21104,-27902,7132,-7727,8237,4091,-556,7024,17224,-67,49,2386,5.07,455,2306,2.4
-9354,11818,2626,-3294,141,142,-20276,-32768,25728,423,-3134,2669,-2122,1920,10594,-452,-290,3351,5.08,406,2062,2.4
-9156,11490,2146,-4628,941,173,-9582,-32768,19148,10457,6499,12665,-2306,702,10656,-461,-418,3514,5.07,464,2356,2.5
-8662,9932,1684,-5528,1641,154,-8636,-14314,16202,5917,3351,10668,-2652,150,10932,-449,-709,3589,5.07,464,2356,2.5
-7728,8444,620,-6404,2234,-5,-6008,-10066,10282,-1705,362,9972,-1772,1662,10228,-555,-1151,4079,5.08,406,2062,2.5
-6646,7636,888,-6714,2664,504,-4286,-9836,7872,-2749,-2749,9225,-1808,1838,8544,-683,-1178,4823,5.07,459,2331,2.6
-7384,7288,374,-7192,3391,303,-3622,-9552,5876,-1588,-3366,8307,-1906,1102,5988,-797,-548,5235,5.07,455,2306,2.6
-6168,5468,-534,-6332,2590,794,-2586,-5802,2556,-1536,-924,8771,-2200,456,4878,-1022,-445,5398,5.08,401,2037,2.7
-5578,5854,-466,-5163,1879,1626,-2088,-6782,602,-1457,143,10574,-2030,1088,5720,-926,-358,5579,5.07,455,2306,2.7
-5726,6928,-1456,-3057,1005,2528,-3596,-8470,756,-1952,3562,9977,-2108,516,5568,-436,-138,6037,5.08,406,2062,2.7
-5348,6874,-1748,-2783,754,2560,-4920,-9612,2246,-1510,-767,10032,-2762,-352,5112,-70,72,5873,5.08,450,2286,2.8
-5160,6658,-1628,-2895,832,2636,-5188,-8026,3070,-476,-2289,9154,-2746,-654,5970,217,180,5852,5.07,459,2331,2.8
-4468,6384,-1950,-3376,1554,2737,-5886,-6324,2562,-1925,-3146,8455,-2438,-1954,7116,327,114,5765,5.08,406,2062,2.9
-4456,6160,-2340,-3756,2475,2685,-5020,-6484,1634,-2234,-4916,7959,-2454,-718,6966,280,204,5595,5.07,455,2306,2.9
-4800,5740,-2228,-3897,2841,2610,-4456,-5660,1420,-3521,-5357,7988,-2270,-282,7008,311,373,5729,5.07,450,2281,2.9
-5086,6120,-1486,-3300,2540,2442,-6344,-5706,976,-6410,-4536,7307,-2578,-222,7414,183,350,6460,5.08,406,2062,3.0
-4806,6828,-1240,-2945,2366,2333,-6510,-6672,488,-7426,-3047,6613,-3394,590,5950,86,446,7158,5.07,455,2306,3.0
-4440,6878,-1386,-3139,2476,1592,-7198,-5094,2648,-8273,-3587,6394,-3382,-704,6746,-75,389,7740,5.08,411,2087,3.0
-3858,6840,-1822,-3449,3199,1364,-6640,-6516,1038,-7460,-2091,6777,-3172,-912,7458,-143,306,8080,5.07,459,2331,3.1
-4016,6996,-2204,-3941,3585,1062,-6744,-5928,1426,-7217,-835,6826,-2962,-1160,7956,-168,30,8413,5.07,469,2380,3.1
-4284,7840,-2046,-4670,4701,1105,-7780,-5168,1162,-9019,1385,6251,-3088,-2146,7244,-203,-78,8806,5.08,401,2037,3.2
-5346,7780,-1532,-5121,4999,1186,-8332,-4448,744,-11225,869,5682,-2790,-2784,6966,-251,60,8858,5.07,464,2356,3.2
-4702,8020,-1122,-5559,5436,1436,-8824,-5056,138,-12907,-1864,4647,-2422,-3148,7592,-321,21,8859,5.07,455,2306,3.2
-5564,8320,-1996,-6413,6167,1461,-8112,-6806,-864,-13979,-4995,2262,-1954,-3106,7684,-401,-63,8594,5.08,401,2037,3.3
-5388,8398,-1962,-6344,6478,1910,-7706,-8906,-806,-12972,-7716,836,-1932,-2802,7108,-405,-82,8475,5.06,479,2425,3.3
-5330,8298,-1692,-6103,6540,2238,-6752,-8916,-676,-11372,-10497,682,-1948,-3114,6252,-397,-148,8459,5.07,464,2356,3.3
-4940,8348,-362,-5463,5747,3301,-5682,-8778,-240,-6801,-7991,3331,-2400,-4064,4818,-580,-8,8280,5.08,406,2062,3.4
-4372,9288,-300,-5434,5676,3972,-4852,-6358,298,-5352,-3857,2779,-2026,-4036,5244,-598,136,8072,5.07,464,2356,3.4
-3938,10038,-854,-5799,5500,4514,-5798,-5204,518,-5180,-2977,2332,-1664,-3648,6086,-579,297,7756,5.07,455,2306,3.5
-4346,11002,-216,-4869,4764,5455,-5934,-4790,450,-5639,-3053,2181,-162,-2666,7874,-609,138,7219,5.08,406,2062,3.5
-4994,11314,826,-3985,4377,5936,-5274,-6452,380,-5598,-2928,1862,-74,-1580,8110,-699,169,6965,5.07,459,2331,3.5
-4868,11220,1086,-2799,3784,6563,-5940,-7106,-12,-4931,-3046,1970,216,-208,9136,-706,340,6828,5.07,459,2331,3.6
-4864,16066,3116,-2149,3112,8782,-6002,-8366,686,-3630,-1804,2557,702,530,9746,-574,103,6523,5.07,401,2033,3.6
-4388,20446,4362,-2464,2729,10196,-6468,-7956,664,-3066,-1503,2791,1010,250,7546,-356,274,5993,5.07,450,2281,3.7
-2730,19406,4280,-2433,2344,12137,-5800,-6172,448,-3359,-1618,2308,934,-1690,6192,-212,154,4997,5.08,411,2087,3.7
-6978,20422,4568,-2396,600,15177,-5552,-4604,662,-5114,-2779,2133,-80,-2570,6076,-343,258,4532,5.08,450,2286,3.7
-5682,20960,5814,-779,-677,17279,-5630,-6626,562,-5031,-1427,3799,-734,-1654,7476,-534,420,4058,5.07,455,2306,3.8
5050,10440,-2952,3140,2603,17692,-7132,-4508,534,-6277,-1986,3809,-462,2786,9072,-323,516,4116,5.08,406,2062,3.8
-3932,13306,466,-448,-1468,20418,-7226,-5250,-80,-7457,-2312,3797,-372,4312,8686,58,1208,3900,5.08,455,2310,3.8
-1692,10956,-586,-195,-79,18838,-6966,-6002,-738,-8037,-2451,3765,1172,3526,12002,452,467,3785,5.07,459,2331,3.9
-7298,8902,-992,-3796,1008,20404,-7188,-6300,-1778,-7709,-2310,2926,-416,-1098,7780,460,429,3192,5.08,396,2012,3.9
-8704,7882,-1114,-5612,1567,20172,-7186,-6046,-1978,-7274,-3163,2715,-574,-1026,7634,250,156,3256,5.07,459,2331,4.0
-7358,6254,-2940,-8589,2006,18889,-7382,-6248,-1426,-5749,-3154,1522,188,-102,7032,166,-116,2998,5.08,401,2037,4.0
-5752,4182,-3588,-9833,1580,17601,-7526,-4884,-1152,-5520,-3295,1717,18,-412,6372,179,12,2535,5.07,464,2356,4.0
-4554,1842,-3400,-10169,890,16311,-7358,-8260,-370,-2467,-1497,3770,-376,22,7100,154,-221,2011,5.07,459,2331,4.1
-2168,-1712,-2954,-8958,-560,13742,-6442,-5256,-534,-845,-426,2270,-700,1334,8092,300,-173,1940,5.08,406,2062,4.1
-1636,-3070,-2786,-7231,-1548,12014,-6124,-4676,-430,-766,107,2081,-1066,1102,7010,401,-21,2341,5.07,450,2281,4.2
-698,-4960,-2668,-4909,-2031,10425,-5974,-4916,-368,-527,354,2201,-636,1140,7018,402,-296,2488,5.07,459,2331,4.2
368,-7142,-1530,-767,-1430,7383,-5382,-3776,-598,-1099,-616,1378,-454,1032,5788,337,-541,2634,5.08,401,2037,4.2
286,-7680,-2024,1291,-1295,5362,-5184,-3546,-652,-1560,-505,1237,-96,784,5110,271,-604,2706,5.07,455,2306,4.3
664,-7974,-4868,5183,-173,1311,-5440,-3364,-374,-1739,-591,1171,114,450,5744,110,-502,2499,5.08,406,2062,4.3
324,-6202,-6306,7087,560,-940,-5790,-3298,-272,-1792,-181,1398,-788,476,5142,45,-497,2456,5.07,469,2380,4.3
-940,-4190,-6302,8087,804,-3350,-5630,-3686,-256,-1634,-306,1818,-1566,1092,5350,-23,-736,2588,5.07,469,2380,4.4
-1834,-2682,-6288,9519,2166,-6981,-4790,-3294,-564,-1548,937,1596,-1282,702,4514,-55,-764,2635,5.08,411,2087,4.4
-2560,-1626,-6106,10603,2403,-8501,-4998,-3080,-636,-2124,550,1624,-1432,674,3870,-115,-472,2715,5.07,464,2356,4.5
-3024,-636,-5922,11338,2921,-9823,-4894,-3158,-618,-2694,-274,1285,-1264,728,4934,-154,-252,2953,5.07,464,2356,4.5
-2930,2334,-6156,11261,4503,-12131,-5886,-3762,82,-3323,-495,987,-1818,890,5318,-281,159,3352,5.08,406,2062,4.5
-3262,3172,-5516,10485,5548,-13407,-6530,-4328,312,-3124,-800,1291,-2522,1044,5342,-342,488,3636,5.07,464,2356,4.6
-3984,3270,-2648,8805,7599,-14714,-7514,-4476,470,-2782,-886,1591,-3324,1180,6394,-298,1193,4080,5.08,401,2037,4.6
-4050,2776,980,8343,8872,-14591,-7774,-4948,732,-2382,-748,1742,-1566,500,6868,-194,1496,3866,5.07,469,2380,4.7
-5532,4186,6360,9179,9053,-13727,-8426,-4766,916,-2084,-1071,1720,564,-104,8268,0,1753,3193,5.07,459,2331,4.7
-2260,14408,7342,16285,5694,-10469,-10288,-5104,1992,-1592,-346,1463,1794,-2330,10864,249,2202,1421,5.08,406,2062,4.7
-3924,28938,6376,18043,4046,-9164,-11684,-5138,2428,-1474,-453,1423,1050,-3320,12266,194,2296,878,5.08,411,2087,4.8
-8024,32767,10678,16222,-4474,-1762,-13232,-5066,3232,-1612,-198,1380,1482,-5080,14434,-585,954,1254,5.07,464,2356,4.8
10418,32767,8706,6647,-4945,-2084,-13856,-5080,3652,-2157,-696,1023,-922,-1272,14478,-1337,-531,2012,5.07,455,2306,4.8
5276,32767,11082,-1761,856,1576,-14448,-5750,3522,-2405,-869,1113,-30,284,13630,-1443,-886,2479,5.07,513,2604,4.9
9730,29470,6470,-3858,1699,13835,-10402,-4576,1846,-2165,-848,760,2186,-636,12554,-673,169,1481,5.08,415,2112,4.9
2824,27444,8726,-5961,-188,12224,-9156,-4802,1612,-1839,-537,711,1928,-674,11168,-235,356,479,5.07,455,2306,5.0
-1478,13620,6854,-9843,-4670,13737,-7964,-5146,1792,-12,121,-114,-152,-916,9308,-245,89,405,5.08,406,2062,5.0
-2604,7804,4086,-10451,-4665,15510,-7186,-4254,1942,1284,416,-131,-464,-588,7956,-303,-196,94,5.07,459,2331,5.0
-6498,5016,1504,-11238,-3707,14859,-5636,-3006,1802,1529,524,-556,358,-980,6524,-334,-267,179,5.07,459,2331,5.1
-9278,2014,-2792,-10765,-6239,14595,-4624,-2454,1304,240,-207,-947,-994,-354,4624,-361,-48,380,5.08,411,2087,5.1
-8834,1090,-4642,-10440,-6576,15166,-4078,-2640,1172,-132,-203,-1152,-966,-262,4880,-318,71,446,5.08,406,2062,5.1
-8184,-2890,-8980,-9465,-5086,14795,-3806,-2890,1096,67,-137,-1422,-650,1438,3658,-106,17,553,5.07,474,2405,5.2
-5424,-6288,-10702,-8819,-2978,12683,-4474,-2548,1166,106,-36,-1463,-28,868,4236,-65,-140,607,5.07,455,2306,5.2
-666,-19946,-10300,-4280,-456,8590,-4876,-2626,730,116,163,-1323,866,-762,4950,-208,-103,216,5.07,445,2256,5.3
268,-19704,-4902,-1540,2645,4842,-5370,-2964,872,147,-193,-869,254,-946,6060,-243,124,-147,5.07,474,2405,5.3
1264,-12582,-6206,1994,2971,2870,-5468,-2338,606,-105,-776,-1041,282,-1128,6526,-261,215,-593,5.06,474,2401,5.4
-468,-8966,-8122,3188,4916,-5019,-5026,-3012,634,-53,-422,-292,-446,-50,5772,-217,240,-947,5.08,401,2037,5.4
-1986,-8550,-9004,5289,5809,-7342,-4172,-2820,808,156,-177,2,-1120,562,5598,-226,-39,-736,5.06,469,2376,5.4
-5768,-3026,-6474,8187,6026,-9331,-3402,-2628,750,229,-2,216,-1756,1018,3998,-347,-797,365,5.08,406,2062,5.5
-6776,-1354,-4482,9043,5861,-10945,-3246,-2342,656,73,-46,29,-1190,984,3686,-369,-740,553,5.06,464,2351,5.5
-5464,-1500,-3476,7357,6437,-14020,-3312,-2818,728,477,442,-96,-1442,1968,4244,-247,-69,740,5.08,396,2012,5.6
-5276,-2980,-3886,7225,7653,-14959,-3802,-2892,920,788,777,-207,-1702,1814,5566,-68,365,860,5.08,459,2335,5.6
-4854,-2582,-2278,7080,8456,-15552,-4528,-2976,1654,908,911,-206,-1950,1242,6370,83,623,853,5.07,469,2380,5.6
-4844,2770,4200,6100,11022,-15816,-7288,-4228,2392,515,735,-216,-1074,72,8628,479,1448,314,5.08,396,2012,5.7
-5604,6628,8682,9338,11093,-14289,-9318,-5576,2604,431,613,-89,-878,-1122,9950,799,1908,-414,5.06,474,2401,5.7
-20582,31422,6728,15671,9551,-6913,-12410,-7674,2900,1399,686,751,-2476,-3118,14014,1043,2648,-1248,5.08,401,2037,5.8
-32170,32767,16780,14305,4158,-911,-13946,-8058,3472,2422,728,1278,10108,-2202,20498,517,-462,-1798,5.08,547,2783,5.8
-10200,32767,10384,6136,-10021,-522,-16444,-8678,3202,3085,404,1430,4,-776,13304,-401,-1809,93,5.06,552,2797,5.8
3602,21874,7458,-83,-6081,-873,-13834,-5330,1084,3576,205,2097,-3452,-3126,13958,-806,-2018,-1070,5.07,430,2182,5.9
5088,15476,4338,676,-6429,-489,-9634,-3560,-166,2482,452,1448,-560,-1800,11758,195,-14,-2452,5.08,552,2807,5.9
14292,1074,894,1367,-2020,-1868,-8388,-4390,-468,2010,1212,341,-34,-1392,11090,936,644,-3376,5.06,577,2920,6.0
11260,3656,864,-8750,-23636,-5159,-8378,-5336,510,4684,3325,-458,-1134,-2384,7240,1184,282,-3342,5.07,440,2232,6.0
4032,-3690,2636,-411,11020,1835,-7696,-3370,568,5858,4384,-562,-148,-3070,5960,899,-126,-4417,5.05,572,2890,6.1
-4226,1270,1128,-2984,-411,-4980,-6928,-2794,802,4962,5012,-84,-56,-1614,5474,778,-330,-5446,5.06,557,2821,6.1
4026,-3334,-142,-5474,-572,-6813,-4378,-4382,-148,2735,1184,-1470,-1194,-1000,3590,518,-872,-5554,5.07,440,2232,6.1
-1314,-730,-1038,-4333,407,-8085,-4040,-5164,-576,3157,1468,-2138,-1346,-712,2592,317,-658,-5835,5.06,582,2945,6.2
1366,3600,-1080,-5440,-472,-10213,-4466,-5196,-416,4650,1781,-1601,-794,-652,2466,242,-400,-6121,5.05,567,2865,6.2
1762,2212,426,-5352,180,-10090,-4138,-2958,-446,6293,2736,-1368,-206,-1784,3868,350,-475,-6255,5.08,430,2186,6.3
688,1720,1686,-1980,517,-8787,-3594,-2572,-724,6340,2367,-1374,-124,-786,5350,524,-348,-6648,5.05,562,2841,6.3
-2412,3812,3926,3400,-1874,-6863,-4278,-2442,-624,5561,2353,-1304,-1206,-1810,6284,643,-353,-6824,5.07,430,2182,6.4
-2756,7188,3532,4883,-3529,-6148,-5504,-3474,-578,5149,2015,-1369,-1996,-1854,6506,546,-340,-6941,5.08,557,2832,6.4
-2790,7022,2224,5343,-4666,-5938,-7076,-3738,-828,5312,2200,-1109,-3152,-1162,6600,363,-333,-6810,5.06,567,2871,6.5
-3234,8446,2376,5522,-6017,-7804,-8348,-5042,-288,6590,2417,260,-4398,-72,7480,111,-83,-6391,5.07,435,2207,6.5
-3634,12976,4352,5953,-6410,-7510,-8326,-4150,358,7364,2921,340,-3634,110,7642,55,-123,-6356,5.08,547,2783,6.5
-5432,13914,5518,5317,-6528,-6376,-8306,-3424,1136,7513,3115,900,-2452,432,8226,-83,-345,-6548,5.06,562,2846,6.6
-5804,12156,4798,3616,-6829,-6249,-7640,-2910,1122,5263,2172,945,-814,1372,7554,-138,-897,-7242,5.07,430,2182,6.6
-3732,10332,4060,2712,-6126,-6415,-8002,-3586,420,3778,1561,814,-1448,1474,8352,-205,-780,-7208,5.05,552,2791,6.7
-4396,8732,3230,2941,-7302,-6334,-7844,-4146,-360,2654,1049,541,-746,1690,9544,-188,-1043,-7277,5.05,562,2841,6.7
-2762,7242,2972,3782,-5204,-4969,-6920,-5270,-1508,2510,947,413,-440,1280,8694,279,-667,-7417,5.07,430,2182,6.8
-2968,7756,2498,3354,-4986,-5313,-6662,-5750,-1746,3105,963,206,-1392,1632,7364,576,-453,-7796,5.06,557,2821,6.8
-3176,7556,3182,3028,-3824,-5140,-7204,-6060,-2362,4816,1369,174,-3250,1474,6100,923,-26,-7633,5.07,435,2207,6.9
-4832,7090,3588,3336,-3462,-5027,-6940,-5780,-2742,5643,1447,309,-3584,1400,6510,918,167,-7427,5.06,552,2797,6.9
-5802,6252,3550,4135,-4188,-4798,-7094,-5776,-3214,6141,1691,275,-3452,1212,5940,770,254,-7169,5.05,557,2816,6.9
-5534,6272,2936,4880,-4453,-4088,-7090,-4940,-3236,5657,1339,189,-2450,1252,5790,406,138,-6515,5.07,435,2207,7.0
-5146,6014,2096,4316,-4695,-4356,-6474,-4964,-2848,5451,1389,15,-1700,970,5704,308,42,-6418,5.05,562,2841,7.0
-4556,5732,1684,4174,-4437,-4389,-6272,-4856,-2168,5423,1321,-130,-1212,500,5726,319,103,-6528,5.06,557,2821,7.1
-3986,5002,1340,4523,-4557,-3982,-5454,-4212,-2242,5722,1832,-494,-1508,312,5894,521,217,-7037,5.07,435,2207,7.1
-3852,4300,1494,5523,-4685,-3702,-5814,-4170,-1368,5773,1699,-731,-1248,398,5848,681,175,-7138,5.06,557,2821,7.2
-4068,4862,1162,7432,-5285,-3004,-6140,-4692,-840,5852,1848,-1503,38,298,7116,844,-198,-6963,5.07,430,2182,7.2
-4436,6340,780,7790,-5856,-2372,-7446,-5150,-844,5292,1572,-1901,1414,18,8288,876,-513,-6646,5.08,547,2783,7.2
-4000,8004,818,6466,-5353,-3068,-8600,-5616,-1750,4543,1786,-2328,954,-1048,9764,825,-888,-6830,5.05,562,2841,7.3
-5142,7690,1204,4206,-3536,-3980,-9404,-7078,-708,4236,1212,-3362,-1804,-240,8732,822,-533,-6890,5.07,435,2207,7.3
-5798,6976,1926,4370,-2696,-4015,-10176,-7026,-788,4747,1416,-3805,-2666,-146,7934,623,-578,-6235,5.05,567,2865,7.4
-6876,6684,1762,5248,-2431,-3757,-11082,-7516,894,4751,1638,-4786,-3498,-112,7400,361,-487,-5283,5.06,587,2970,7.4
-6356,9896,986,5557,-3167,-3023,-13526,-12812,2068,2981,1218,-7959,-712,180,9412,-87,-674,-4251,5.07,430,2182,7.5
-7390,9762,1012,4930,-3253,-3464,-17970,-13018,4206,839,438,-10725,-170,618,9308,-216,-696,-3959,5.05,562,2841,7.5
-5688,9328,1136,4116,-2852,-3108,-21020,-18122,6240,-1558,-1912,-14546,-248,892,7696,-216,-596,-3654,5.05,567,2865,7.5
-4974,8874,900,1905,-1457,-2805,-19892,-22696,5138,-1223,-2696,-17901,-416,1314,7232,-170,-460,-2816,5.07,435,2207,7.6
-5230,7534,692,1616,-1015,-2645,-19198,-23082,5692,801,-3772,-19056,-1066,1250,7308,-4,-175,-2366,5.06,562,2846,7.6
-5668,6718,766,2297,-277,-2378,-16638,-21614,4686,1786,-5085,-20298,-1274,1020,7320,131,-123,-1827,5.06,557,2821,7.7
-6400,6898,720,3627,-787,-2121,-15452,-17550,2734,2852,-6251,-21484,-1648,904,6634,-69,-71,-745,5.08,430,2186,7.7
